2026-04-02 17:02:39 | INFO     | embedding_service | Chunked | person_id=P0001 | event_id=7801923876 | chunks=2
2026-04-02 17:02:39 | INFO     | embedding_service | Chunked | person_id=P0002 | event_id=7756692468 | chunks=3
2026-04-02 17:02:39 | INFO     | embedding_service | Chunked | person_id=P0003 | event_id=7776056955 | chunks=1
2026-04-02 17:02:39 | INFO     | embedding_service | Chunked | person_id=P0004 | event_id=7758588132 | chunks=2
2026-04-02 17:02:39 | INFO     | embedding_service | Chunked | person_id=P0005 | event_id=7739076700 | chunks=1
2026-04-02 17:02:39 | ERROR    | embedding_service | Bulk embed failed | person_id=P0001 | Invalid model name: 'gemini-embedding-001'. Model names should start with 'models/' or 'tunedModels/'.
2026-04-02 17:02:39 | ERROR    | embedding_service | Bulk embed failed | person_id=P0002 | Invalid model name: 'gemini-embedding-001'. Model names should start with 'models/' or 'tunedModels/'.
2026-04-02 17:02:39 | ERROR    | embedding_service | Bulk embed failed | person_id=P0003 | Invalid model name: 'gemini-embedding-001'. Model names should start with 'models/' or 'tunedModels/'.
2026-04-02 17:02:39 | ERROR    | embedding_service | Bulk embed failed | person_id=P0004 | Invalid model name: 'gemini-embedding-001'. Model names should start with 'models/' or 'tunedModels/'.
2026-04-02 17:02:39 | ERROR    | embedding_service | Bulk embed failed | person_id=P0005 | Invalid model name: 'gemini-embedding-001'. Model names should start with 'models/' or 'tunedModels/'.
2026-04-02 17:02:39 | INFO     | embedding_service | Bulk embed job completed | job_id=37e89299-cd5d-4f9b-a0d9-7b434734daa7
2026-04-02 17:03:06 | INFO     | embedding_service | Embedding service logging initialised
2026-04-02 17:03:07 | INFO     | embedding_service | =======================================================
2026-04-02 17:03:07 | INFO     | embedding_service |   Embedding Service starting up
2026-04-02 17:03:07 | INFO     | embedding_service |   Env        : development
2026-04-02 17:03:07 | INFO     | embedding_service |   Model      : models/gemini-embedding-001
2026-04-02 17:03:07 | INFO     | embedding_service |   Qdrant     : localhost:6565
2026-04-02 17:03:07 | INFO     | embedding_service |   Collection : patient_clinical_notes
2026-04-02 17:03:07 | INFO     | embedding_service |   Input file : ../data/input/input.xlsx
2026-04-02 17:03:07 | INFO     | embedding_service | =======================================================
2026-04-02 17:03:07 | INFO     | embedding_service | Gemini embedder initialised
2026-04-02 17:03:07 | INFO     | embedding_service | Qdrant collection ready | patient_clinical_notes
2026-04-02 17:03:20 | INFO     | embedding_service | Bulk embed job queued | job_id=c8c86d54-e987-4ef6-abd9-58f9de10140e
2026-04-02 17:03:20 | INFO     | embedding_service | Bulk embed triggered | job_id=c8c86d54-e987-4ef6-abd9-58f9de10140e
2026-04-02 17:03:20 | INFO     | embedding_service | Chunked | person_id=P0001 | event_id=7801923876 | chunks=2
2026-04-02 17:03:20 | INFO     | embedding_service | Chunked | person_id=P0002 | event_id=7756692468 | chunks=3
2026-04-02 17:03:20 | INFO     | embedding_service | Chunked | person_id=P0003 | event_id=7776056955 | chunks=1
2026-04-02 17:03:20 | INFO     | embedding_service | Chunked | person_id=P0004 | event_id=7758588132 | chunks=2
2026-04-02 17:03:20 | INFO     | embedding_service | Chunked | person_id=P0005 | event_id=7739076700 | chunks=1
2026-04-02 17:03:21 | ERROR    | embedding_service | Bulk embed failed | person_id=P0003 | Unexpected Response: 400 (Bad Request)
Raw response content:
b'{"status":{"error":"Wrong input: Vector dimension error: expected dim: 768, got 3072"},"time":0.0392765}'
2026-04-02 17:03:21 | ERROR    | embedding_service | Bulk embed failed | person_id=P0002 | Unexpected Response: 400 (Bad Request)
Raw response content:
b'{"status":{"error":"Wrong input: Vector dimension error: expected dim: 768, got 3072"},"time":0.001637792}'
2026-04-02 17:03:21 | ERROR    | embedding_service | Bulk embed failed | person_id=P0004 | Unexpected Response: 400 (Bad Request)
Raw response content:
b'{"status":{"error":"Wrong input: Vector dimension error: expected dim: 768, got 3072"},"time":0.001437625}'
2026-04-02 17:03:21 | ERROR    | embedding_service | Bulk embed failed | person_id=P0005 | Unexpected Response: 400 (Bad Request)
Raw response content:
b'{"status":{"error":"Wrong input: Vector dimension error: expected dim: 768, got 3072"},"time":0.000989917}'
2026-04-02 17:03:21 | ERROR    | embedding_service | Bulk embed failed | person_id=P0001 | Unexpected Response: 400 (Bad Request)
Raw response content:
b'{"status":{"error":"Wrong input: Vector dimension error: expected dim: 768, got 3072"},"time":0.001440208}'
2026-04-02 17:03:21 | INFO     | embedding_service | Bulk embed job completed | job_id=c8c86d54-e987-4ef6-abd9-58f9de10140e
2026-04-02 17:06:12 | INFO     | embedding_service | Embedding service logging initialised
2026-04-02 17:06:13 | INFO     | embedding_service | =======================================================
2026-04-02 17:06:13 | INFO     | embedding_service |   Embedding Service starting up
2026-04-02 17:06:13 | INFO     | embedding_service |   Env        : development
2026-04-02 17:06:13 | INFO     | embedding_service |   Model      : models/gemini-embedding-001
2026-04-02 17:06:13 | INFO     | embedding_service |   Qdrant     : localhost:6565
2026-04-02 17:06:13 | INFO     | embedding_service |   Collection : patient_clinical_notes
2026-04-02 17:06:13 | INFO     | embedding_service |   Input file : ../data/input/input.xlsx
2026-04-02 17:06:13 | INFO     | embedding_service | =======================================================
2026-04-02 17:06:13 | INFO     | embedding_service | Gemini embedder initialised
2026-04-02 17:06:13 | INFO     | embedding_service | Qdrant collection ready | patient_clinical_notes
2026-04-02 17:06:36 | INFO     | embedding_service | Bulk embed job queued | job_id=818222c5-a62b-40cc-9869-223521b7a971
2026-04-02 17:06:36 | INFO     | embedding_service | Bulk embed triggered | job_id=818222c5-a62b-40cc-9869-223521b7a971
2026-04-02 17:06:36 | INFO     | embedding_service | Chunked | person_id=P0001 | event_id=7801923876 | chunks=2
2026-04-02 17:06:36 | INFO     | embedding_service | Chunked | person_id=P0002 | event_id=7756692468 | chunks=3
2026-04-02 17:06:36 | INFO     | embedding_service | Chunked | person_id=P0003 | event_id=7776056955 | chunks=1
2026-04-02 17:06:36 | INFO     | embedding_service | Chunked | person_id=P0004 | event_id=7758588132 | chunks=2
2026-04-02 17:06:36 | INFO     | embedding_service | Chunked | person_id=P0005 | event_id=7739076700 | chunks=1
2026-04-02 17:06:37 | INFO     | embedding_service | Patient embedded | person_id=P0003 | events=1 | chunks=1
2026-04-02 17:06:37 | INFO     | embedding_service | Bulk embed progress | 818222c5-a62b-40cc-9869-223521b7a971 | P0003 done
2026-04-02 17:06:37 | INFO     | embedding_service | Patient embedded | person_id=P0005 | events=1 | chunks=1
2026-04-02 17:06:37 | INFO     | embedding_service | Bulk embed progress | 818222c5-a62b-40cc-9869-223521b7a971 | P0005 done
2026-04-02 17:06:37 | INFO     | embedding_service | Chunked | person_id=P0001 | event_id=7801923877 | chunks=1
2026-04-02 17:06:37 | INFO     | embedding_service | Patient embedded | person_id=P0002 | events=1 | chunks=3
2026-04-02 17:06:37 | INFO     | embedding_service | Bulk embed progress | 818222c5-a62b-40cc-9869-223521b7a971 | P0002 done
